case_index,scenario,sentiment,urgency,emp_steering,frm_steering,emp_token_len,frm_token_len,emp_sent_len,frm_sent_len,emp_ttr,frm_ttr,rouge1_ef,rouge2_ef,rougeL_ef,rouge1_ec,rouge1_fc,emp_flesch_ease,emp_flesch_grade,emp_fog,frm_flesch_ease,frm_flesch_grade,frm_fog,emp_empathy_score,emp_formality_score,frm_empathy_score,frm_formality_score,emp_fp_singular,frm_fp_singular,emp_passive,frm_passive,style_disc_score,emp_entity_cov,frm_entity_cov,emp_placeholder,frm_placeholder,emp_cov_product,emp_cov_order_id,emp_cov_issue,emp_cov_urgency,emp_cov_sentiment,emp_cov_customer_name,frm_cov_product,frm_cov_order_id,frm_cov_issue,frm_cov_urgency,frm_cov_sentiment,frm_cov_customer_name,kg_nodes,kg_edges,kg_density,kg_salience
1,battery_issue,frustrated,high,kg_activation,kg_activation,65,65,3,3,0.8307692307692308,0.7692307692307693,0.3770491803278688,0.08333333333333333,0.18032786885245905,0.2138364779874214,0.23899371069182387,56.815000000000026,10.303333333333338,12.666666666666666,43.347486338797836,12.264590163934429,14.034972677595627,0.0,0.034482758620689655,0.03225806451612903,0.034482758620689655,0.3333333333333333,0.0,0.0,0.0,-0.03225806451612903,0.16666666666666666,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4,0.13333333333333333,0.8333333333333334
2,battery_issue,angry,high,kg_activation,kg_activation,72,45,3,3,0.8472222222222222,0.8222222222222222,0.3119266055045872,0.09345794392523364,0.18348623853211007,0.21301775147928992,0.14084507042253522,49.463627450980425,11.99117647058824,13.184313725490197,46.4608943089431,10.174146341463416,9.36910569105691,0.0,0.034482758620689655,0.0,0.034482758620689655,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,8,4,0.07142857142857142,0.8791249999999999
3,battery_issue,neutral,medium,kg_activation,kg_activation,79,57,3,2,0.8227848101265823,0.9473684210526315,0.24,0.0,0.08000000000000002,0.15476190476190477,0.1360544217687075,47.703789954337935,12.650684931506849,14.664840182648403,14.498846153846188,17.69615384615385,18.861538461538462,0.0,0.06896551724137931,0.0,0.034482758620689655,0.75,0.0,0.3333333333333333,0.5,-0.034482758620689655,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4,0.13333333333333333,0.8250000000000001
4,battery_issue,polite,low,kg_activation,kg_activation,63,47,3,2,0.9365079365079365,0.851063829787234,0.38461538461538464,0.0392156862745098,0.15384615384615385,0.18867924528301885,0.13793103448275865,53.52079096045199,10.680000000000003,11.256497175141243,18.557500000000033,16.26055555555556,18.77777777777778,0.0,0.0,0.06451612903225806,0.034482758620689655,0.6666666666666666,0.0,0.0,0.5,-0.030033370411568408,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,0.14285714285714285,0.85
5,battery_issue,frustrated,high,kg_activation,kg_activation,74,56,3,3,0.8378378378378378,0.8214285714285714,0.33333333333333337,0.0847457627118644,0.21666666666666665,0.174496644295302,0.15037593984962408,50.321890547263706,11.788656716417908,13.70945273631841,46.07243589743592,11.139230769230767,11.548717948717949,0.0,0.034482758620689655,0.03225806451612903,0.034482758620689655,0.5,0.0,0.0,0.0,-0.03225806451612903,0.16666666666666666,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4,0.13333333333333333,0.7749999999999999
6,battery_issue,angry,high,kg_activation,kg_activation,67,76,3,3,0.8656716417910447,0.8552631578947368,0.35555555555555557,0.06015037593984963,0.13333333333333333,0.20606060606060606,0.23255813953488372,47.70666666666668,11.905000000000001,14.158333333333331,42.2105164319249,13.251267605633803,14.537089201877937,0.0,0.0,0.0967741935483871,0.06896551724137931,0.0,0.0,0.0,0.0,-0.027808676307007785,0.0,0.0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,7,4,0.09523809523809523,0.85
7,battery_issue,polite,medium,kg_activation,kg_activation,76,40,3,2,0.9078947368421053,0.9,0.3090909090909091,0.018518518518518517,0.14545454545454545,0.25,0.16417910447761194,28.55000000000004,15.239444444444445,15.155555555555555,13.897368421052647,16.04105263157895,19.178947368421053,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.5,-0.06896551724137931,0.0,0.0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,7,6,0.14285714285714285,0.8357142857142857
8,battery_issue,neutral,low,kg_activation,kg_activation,72,57,3,2,0.875,0.7719298245614035,0.34426229508196726,0.049999999999999996,0.18032786885245902,0.16666666666666666,0.24675324675324678,39.51068627450982,13.379411764705882,14.94901960784314,36.863333333333344,14.825185185185187,15.244444444444447,0.0,0.034482758620689655,0.0,0.034482758620689655,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.14285714285714285,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7,6,0.14285714285714285,0.8357142857142857
9,battery_issue,frustrated,high,kg_activation,kg_activation,81,41,3,2,0.8518518518518519,0.9512195121951219,0.31304347826086953,0.035398230088495575,0.1391304347826087,0.21052631578947364,0.10606060606060608,36.85346320346321,14.495324675324678,15.461471861471862,9.4447368421053,16.662105263157894,22.33684210526316,0.0,0.06896551724137931,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,-0.034482758620689655,0.0,0.0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,7,6,0.14285714285714285,0.8357142857142857
10,battery_issue,angry,high,kg_activation,kg_activation,78,61,3,3,0.8461538461538461,0.8032786885245902,0.3511450381679389,0.06201550387596899,0.19847328244274806,0.2711864406779661,0.1625,50.021598173516,12.327397260273973,13.568949771689498,39.83833333333337,12.340000000000003,13.895238095238097,0.0,0.0,0.03225806451612903,0.034482758620689655,0.0,0.0,0.0,0.0,0.0022246941045606233,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,0.14285714285714285,0.89375
